Strain,Rec,date,transfer,plateID,wellID,wellCol,wellRow,Treatment,Replicate,Environment,OD,Treatment_f
AB3,com+,020820,T05,CMB AB3 SHIFT 2,B1,1,B,CMB,6,X,0.925,Combination
AB3,com+,020820,T05,CMB AB3 SHIFT 2,B2,2,B,CMB,6,X,0.891,Combination
AB3,com+,020820,T05,CMB AB3 SHIFT 2,B3,3,B,CMB,6,X,0.901,Combination
AB3,com+,020820,T05,CMB AB3 SHIFT 2,B4,4,B,CMB,6,B,0.066,Combination
AB3,com+,020820,T05,CMB AB3 SHIFT 2,B5,5,B,CMB,6,B,0.069,Combination
AB3,com+,020820,T05,CMB AB3 SHIFT 2,B6,6,B,CMB,6,B,0.069,Combination
AB3,com+,020820,T05,CMB AB3 SHIFT 2,C1,1,C,CMB,7,X,0.9,Combination
AB3,com+,020820,T05,CMB AB3 SHIFT 2,C2,2,C,CMB,7,X,0.844,Combination
AB3,com+,020820,T05,CMB AB3 SHIFT 2,C3,3,C,CMB,7,X,0.837,Combination
AB3,com+,020820,T05,CMB AB3 SHIFT 2,C4,4,C,CMB,7,B,0.066,Combination
AB3,com+,020820,T05,CMB AB3 SHIFT 2,C5,5,C,CMB,7,B,0.068,Combination
AB3,com+,020820,T05,CMB AB3 SHIFT 2,C6,6,C,CMB,7,B,0.068,Combination
AB3,com+,020820,T05,CMB AB3 SHIFT 2,D1,1,D,CMB,8,X,0.839,Combination
AB3,com+,020820,T05,CMB AB3 SHIFT 2,D2,2,D,CMB,8,X,0.775,Combination
AB3,com+,020820,T05,CMB AB3 SHIFT 2,D3,3,D,CMB,8,X,0.763,Combination
AB3,com+,020820,T05,CMB AB3 SHIFT 2,D4,4,D,CMB,8,B,0.061,Combination
AB3,com+,020820,T05,CMB AB3 SHIFT 2,D5,5,D,CMB,8,B,0.067,Combination
AB3,com+,020820,T05,CMB AB3 SHIFT 2,D6,6,D,CMB,8,B,0.068,Combination
AB3,com+,020820,T05,NOD 1 SHIFT 2,A1,1,A,NOD,5,X,1.452,No drug
AB3,com+,020820,T05,NOD 1 SHIFT 2,A2,2,A,NOD,5,X,1.343,No drug
AB3,com+,020820,T05,NOD 1 SHIFT 2,A3,3,A,NOD,5,X,1.262,No drug
AB3,com+,020820,T05,NOD 1 SHIFT 2,A4,4,A,NOD,5,X,1.063,No drug
AB3,com+,020820,T05,NOD 1 SHIFT 2,A5,5,A,NOD,5,X,1.165,No drug
AB3,com+,020820,T05,NOD 1 SHIFT 2,A6,6,A,NOD,5,X,1.055,No drug
AB3,com+,020820,T05,NOD 1 SHIFT 2,B1,1,B,NOD,6,X,1.309,No drug
AB3,com+,020820,T05,NOD 1 SHIFT 2,B2,2,B,NOD,6,X,1.749,No drug
AB3,com+,020820,T05,NOD 1 SHIFT 2,B3,3,B,NOD,6,X,1.303,No drug
AB3,com+,020820,T05,NOD 1 SHIFT 2,B4,4,B,NOD,6,X,1.305,No drug
AB3,com+,020820,T05,NOD 1 SHIFT 2,B5,5,B,NOD,6,X,1.194,No drug
AB3,com+,020820,T05,NOD 1 SHIFT 2,B6,6,B,NOD,6,X,1.16,No drug
AB3,com+,020820,T05,NOD 1 SHIFT 2,C1,1,C,NOD,7,X,0,No drug
AB3,com+,020820,T05,NOD 1 SHIFT 2,C2,2,C,NOD,7,X,0,No drug
AB3,com+,020820,T05,NOD 1 SHIFT 2,C3,3,C,NOD,7,X,0,No drug
AB3,com+,020820,T05,NOD 1 SHIFT 2,C4,4,C,NOD,7,X,0,No drug
AB3,com+,020820,T05,NOD 1 SHIFT 2,C5,5,C,NOD,7,X,0,No drug
AB3,com+,020820,T05,NOD 1 SHIFT 2,C6,6,C,NOD,7,X,0,No drug
AB3,com+,020820,T05,NOD 1 SHIFT 2,D1,1,D,NOD,8,X,0,No drug
AB3,com+,020820,T05,NOD 1 SHIFT 2,D2,2,D,NOD,8,X,0,No drug
AB3,com+,020820,T05,NOD 1 SHIFT 2,D3,3,D,NOD,8,X,0,No drug
AB3,com+,020820,T05,NOD 1 SHIFT 2,D4,4,D,NOD,8,X,0,No drug
AB3,com+,020820,T05,NOD 1 SHIFT 2,D5,5,D,NOD,8,X,0,No drug
AB3,com+,020820,T05,NOD 1 SHIFT 2,D6,6,D,NOD,8,X,0,No drug
AB3,com+,030820,T06,STR AB3 SHIFT 1,A1,1,A,STR,1,X,0.923,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 1,A2,2,A,STR,1,X,0.883,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 1,A3,3,A,STR,1,X,0.812,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 1,A4,4,A,STR,1,S,0.761,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 1,A5,5,A,STR,1,S,0.74,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 1,A6,6,A,STR,1,S,0.731,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 1,B1,1,B,STR,2,X,0.891,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 1,B2,2,B,STR,2,X,0.807,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 1,B3,3,B,STR,2,X,0.687,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 1,B4,4,B,STR,2,S,0.527,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 1,B5,5,B,STR,2,S,0.504,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 1,B6,6,B,STR,2,S,0.562,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 1,C1,1,C,STR,3,X,0.831,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 1,C2,2,C,STR,3,X,0.836,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 1,C3,3,C,STR,3,X,0.725,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 1,C4,4,C,STR,3,S,0.586,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 1,C5,5,C,STR,3,S,0.55,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 1,C6,6,C,STR,3,S,0.604,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 1,D1,1,D,STR,4,X,0.928,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 1,D2,2,D,STR,4,X,0.9,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 1,D3,3,D,STR,4,X,0.84,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 1,D4,4,D,STR,4,S,0.723,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 1,D5,5,D,STR,4,S,0.724,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 1,D6,6,D,STR,4,S,0.779,STP only
AB3,com+,030820,T06,RIF AB3 SHIFT 1,A1,1,A,RIF,1,X,0.971,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 1,A2,2,A,RIF,1,X,0.993,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 1,A3,3,A,RIF,1,X,0.837,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 1,A4,4,A,RIF,1,R,0.861,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 1,A5,5,A,RIF,1,R,0.782,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 1,A6,6,A,RIF,1,R,0.866,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 1,B1,1,B,RIF,2,X,0.942,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 1,B2,2,B,RIF,2,X,1.026,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 1,B3,3,B,RIF,2,X,0.949,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 1,B4,4,B,RIF,2,R,0.878,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 1,B5,5,B,RIF,2,R,0.781,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 1,B6,6,B,RIF,2,R,0.799,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 1,C1,1,C,RIF,3,X,0.923,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 1,C2,2,C,RIF,3,X,0.949,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 1,C3,3,C,RIF,3,X,0.887,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 1,C4,4,C,RIF,3,R,0.831,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 1,C5,5,C,RIF,3,R,0.822,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 1,C6,6,C,RIF,3,R,0.792,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 1,D1,1,D,RIF,4,X,0.988,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 1,D2,2,D,RIF,4,X,0.955,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 1,D3,3,D,RIF,4,X,0.892,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 1,D4,4,D,RIF,4,R,0.853,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 1,D5,5,D,RIF,4,R,0.777,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 1,D6,6,D,RIF,4,R,0.75,RIF only
AB3,com+,030820,T06,MIX AB3 SHIFT 1,A1,1,A,MIX,1,X,0.749,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 1,A2,2,A,MIX,1,X,0.726,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 1,A3,3,A,MIX,1,X,0.633,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 1,A4,4,A,MIX,1,S,0.739,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 1,A5,5,A,MIX,1,R,0.683,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 1,A6,6,A,MIX,1,B,0.823,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 1,B1,1,B,MIX,2,X,0.851,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 1,B2,2,B,MIX,2,X,0.727,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 1,B3,3,B,MIX,2,X,0.697,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 1,B4,4,B,MIX,2,S,0.679,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 1,B5,5,B,MIX,2,R,0.734,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 1,B6,6,B,MIX,2,B,0.763,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 1,C1,1,C,MIX,3,X,0.836,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 1,C2,2,C,MIX,3,X,0.682,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 1,C3,3,C,MIX,3,X,0.667,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 1,C4,4,C,MIX,3,S,0.713,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 1,C5,5,C,MIX,3,R,0.659,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 1,C6,6,C,MIX,3,B,0.687,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 1,D1,1,D,MIX,4,X,0.706,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 1,D2,2,D,MIX,4,X,0.654,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 1,D3,3,D,MIX,4,X,0.621,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 1,D4,4,D,MIX,4,S,0.674,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 1,D5,5,D,MIX,4,R,0.627,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 1,D6,6,D,MIX,4,B,0.705,Mixed
AB3,com+,030820,T06,CMB AB3 SHIFT 1,A1,1,A,CMB,1,X,0.956,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 1,A2,2,A,CMB,1,X,0.95,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 1,A3,3,A,CMB,1,X,0.915,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 1,A4,4,A,CMB,1,B,0.071,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 1,A5,5,A,CMB,1,B,0.068,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 1,A6,6,A,CMB,1,B,0.068,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 1,B1,1,B,CMB,2,X,0.962,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 1,B2,2,B,CMB,2,X,0.919,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 1,B3,3,B,CMB,2,X,0.87,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 1,B4,4,B,CMB,2,B,0.07,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 1,B5,5,B,CMB,2,B,0.069,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 1,B6,6,B,CMB,2,B,0.068,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 1,C1,1,C,CMB,3,X,0.937,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 1,C2,2,C,CMB,3,X,0.862,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 1,C3,3,C,CMB,3,X,0.872,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 1,C4,4,C,CMB,3,B,0.072,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 1,C5,5,C,CMB,3,B,0.068,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 1,C6,6,C,CMB,3,B,0.068,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 1,D1,1,D,CMB,4,X,0.924,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 1,D2,2,D,CMB,4,X,0.855,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 1,D3,3,D,CMB,4,X,0.814,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 1,D4,4,D,CMB,4,B,0.072,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 1,D5,5,D,CMB,4,B,0.072,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 1,D6,6,D,CMB,4,B,0.068,Combination
AB3,com+,030820,T06,NOD SHIFT 1,A1,1,A,NOD,1,X,0.754,No drug
AB3,com+,030820,T06,NOD SHIFT 1,A2,2,A,NOD,1,X,0.732,No drug
AB3,com+,030820,T06,NOD SHIFT 1,A3,3,A,NOD,1,X,0.677,No drug
AB3,com+,030820,T06,NOD SHIFT 1,A4,4,A,NOD,1,X,0.739,No drug
AB3,com+,030820,T06,NOD SHIFT 1,A5,5,A,NOD,1,X,0.699,No drug
AB3,com+,030820,T06,NOD SHIFT 1,A6,6,A,NOD,1,X,0.786,No drug
AB3,com+,030820,T06,NOD SHIFT 1,B1,1,B,NOD,2,X,0.954,No drug
AB3,com+,030820,T06,NOD SHIFT 1,B2,2,B,NOD,2,X,0.837,No drug
AB3,com+,030820,T06,NOD SHIFT 1,B3,3,B,NOD,2,X,0.772,No drug
AB3,com+,030820,T06,NOD SHIFT 1,B4,4,B,NOD,2,X,0.756,No drug
AB3,com+,030820,T06,NOD SHIFT 1,B5,5,B,NOD,2,X,0.739,No drug
AB3,com+,030820,T06,NOD SHIFT 1,B6,6,B,NOD,2,X,0.776,No drug
AB3,com+,030820,T06,NOD SHIFT 1,C1,1,C,NOD,3,X,1.153,No drug
AB3,com+,030820,T06,NOD SHIFT 1,C2,2,C,NOD,3,X,1.594,No drug
AB3,com+,030820,T06,NOD SHIFT 1,C3,3,C,NOD,3,X,1.181,No drug
AB3,com+,030820,T06,NOD SHIFT 1,C4,4,C,NOD,3,X,1.251,No drug
AB3,com+,030820,T06,NOD SHIFT 1,C5,5,C,NOD,3,X,1.194,No drug
AB3,com+,030820,T06,NOD SHIFT 1,C6,6,C,NOD,3,X,1.224,No drug
AB3,com+,030820,T06,NOD SHIFT 1,D1,1,D,NOD,4,X,1.244,No drug
AB3,com+,030820,T06,NOD SHIFT 1,D2,2,D,NOD,4,X,1.348,No drug
AB3,com+,030820,T06,NOD SHIFT 1,D3,3,D,NOD,4,X,1.306,No drug
AB3,com+,030820,T06,NOD SHIFT 1,D4,4,D,NOD,4,X,0.953,No drug
AB3,com+,030820,T06,NOD SHIFT 1,D5,5,D,NOD,4,X,1.122,No drug
AB3,com+,030820,T06,NOD SHIFT 1,D6,6,D,NOD,4,X,1.157,No drug
AB3,com+,030820,T06,STR AB3 SHIFT 2,A1,1,A,STR,5,X,0.881,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 2,A2,2,A,STR,5,X,0.776,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 2,A3,3,A,STR,5,X,0.653,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 2,A4,4,A,STR,5,S,0.736,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 2,A5,5,A,STR,5,S,0.754,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 2,A6,6,A,STR,5,S,0.77,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 2,B1,1,B,STR,6,X,0.888,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 2,B2,2,B,STR,6,X,0.815,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 2,B3,3,B,STR,6,X,0.815,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 2,B4,4,B,STR,6,S,0.847,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 2,B5,5,B,STR,6,S,0.797,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 2,B6,6,B,STR,6,S,0.807,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 2,C1,1,C,STR,7,X,0.958,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 2,C2,2,C,STR,7,X,0.879,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 2,C3,3,C,STR,7,X,0.783,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 2,C4,4,C,STR,7,S,0.84,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 2,C5,5,C,STR,7,S,0.797,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 2,C6,6,C,STR,7,S,0.787,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 2,D1,1,D,STR,8,X,0.807,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 2,D2,2,D,STR,8,X,0.721,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 2,D3,3,D,STR,8,X,0.664,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 2,D4,4,D,STR,8,S,0.774,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 2,D5,5,D,STR,8,S,0.727,STP only
AB3,com+,030820,T06,STR AB3 SHIFT 2,D6,6,D,STR,8,S,0.714,STP only
AB3,com+,030820,T06,RIF AB3 SHIFT 2,A1,1,A,RIF,5,X,1.099,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 2,A2,2,A,RIF,5,X,0.678,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 2,A3,3,A,RIF,5,X,0.595,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 2,A4,4,A,RIF,5,R,0.741,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 2,A5,5,A,RIF,5,R,0.67,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 2,A6,6,A,RIF,5,R,0.69,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 2,B1,1,B,RIF,6,X,1.064,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 2,B2,2,B,RIF,6,X,0.758,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 2,B3,3,B,RIF,6,X,0.623,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 2,B4,4,B,RIF,6,R,0.591,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 2,B5,5,B,RIF,6,R,0.649,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 2,B6,6,B,RIF,6,R,0.709,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 2,C1,1,C,RIF,7,X,1.033,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 2,C2,2,C,RIF,7,X,0.926,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 2,C3,3,C,RIF,7,X,0.758,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 2,C4,4,C,RIF,7,R,0.677,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 2,C5,5,C,RIF,7,R,0.681,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 2,C6,6,C,RIF,7,R,0.815,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 2,D1,1,D,RIF,8,X,1.31,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 2,D2,2,D,RIF,8,X,0.993,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 2,D3,3,D,RIF,8,X,0.915,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 2,D4,4,D,RIF,8,R,0.713,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 2,D5,5,D,RIF,8,R,0.649,RIF only
AB3,com+,030820,T06,RIF AB3 SHIFT 2,D6,6,D,RIF,8,R,0.726,RIF only
AB3,com+,030820,T06,MIX AB3 SHIFT 2,A1,1,A,MIX,5,X,1.027,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 2,A2,2,A,MIX,5,X,0.851,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 2,A3,3,A,MIX,5,X,0.854,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 2,A4,4,A,MIX,5,S,0.907,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 2,A5,5,A,MIX,5,R,0.858,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 2,A6,6,A,MIX,5,B,0.955,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 2,B1,1,B,MIX,6,X,0.965,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 2,B2,2,B,MIX,6,X,0.801,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 2,B3,3,B,MIX,6,X,0.766,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 2,B4,4,B,MIX,6,S,0.767,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 2,B5,5,B,MIX,6,R,0.776,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 2,B6,6,B,MIX,6,B,0.78,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 2,C1,1,C,MIX,7,X,0.792,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 2,C2,2,C,MIX,7,X,0.69,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 2,C3,3,C,MIX,7,X,0.702,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 2,C4,4,C,MIX,7,S,0.74,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 2,C5,5,C,MIX,7,R,0.717,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 2,C6,6,C,MIX,7,B,0.809,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 2,D1,1,D,MIX,8,X,1.264,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 2,D2,2,D,MIX,8,X,0.9,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 2,D3,3,D,MIX,8,X,0.915,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 2,D4,4,D,MIX,8,S,0.712,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 2,D5,5,D,MIX,8,R,0.689,Mixed
AB3,com+,030820,T06,MIX AB3 SHIFT 2,D6,6,D,MIX,8,B,0.734,Mixed
AB3,com+,030820,T06,CMB AB3 SHIFT 2,A1,1,A,CMB,5,X,1.081,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 2,A2,2,A,CMB,5,X,0.99,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 2,A3,3,A,CMB,5,X,1.034,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 2,A4,4,A,CMB,5,B,0.07,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 2,A5,5,A,CMB,5,B,0.067,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 2,A6,6,A,CMB,5,B,0.068,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 2,B1,1,B,CMB,6,X,0.906,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 2,B2,2,B,CMB,6,X,0.821,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 2,B3,3,B,CMB,6,X,0.769,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 2,B4,4,B,CMB,6,B,0.074,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 2,B5,5,B,CMB,6,B,0.068,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 2,B6,6,B,CMB,6,B,0.068,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 2,C1,1,C,CMB,7,X,0.92,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 2,C2,2,C,CMB,7,X,0.872,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 2,C3,3,C,CMB,7,X,0.81,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 2,C4,4,C,CMB,7,B,0.095,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 2,C5,5,C,CMB,7,B,0.068,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 2,C6,6,C,CMB,7,B,0.068,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 2,D1,1,D,CMB,8,X,1.084,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 2,D2,2,D,CMB,8,X,0.903,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 2,D3,3,D,CMB,8,X,0.769,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 2,D4,4,D,CMB,8,B,0.096,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 2,D5,5,D,CMB,8,B,0.067,Combination
AB3,com+,030820,T06,CMB AB3 SHIFT 2,D6,6,D,CMB,8,B,0.079,Combination
AB3,com+,030820,T06,NOD 1 SHIFT 2,A1,1,A,NOD,5,X,1.153,No drug
AB3,com+,030820,T06,NOD 1 SHIFT 2,A2,2,A,NOD,5,X,1.594,No drug
AB3,com+,030820,T06,NOD 1 SHIFT 2,A3,3,A,NOD,5,X,1.181,No drug
AB3,com+,030820,T06,NOD 1 SHIFT 2,A4,4,A,NOD,5,X,1.251,No drug
AB3,com+,030820,T06,NOD 1 SHIFT 2,A5,5,A,NOD,5,X,1.194,No drug
AB3,com+,030820,T06,NOD 1 SHIFT 2,A6,6,A,NOD,5,X,1.224,No drug
AB3,com+,030820,T06,NOD 1 SHIFT 2,B1,1,B,NOD,6,X,1.244,No drug
AB3,com+,030820,T06,NOD 1 SHIFT 2,B2,2,B,NOD,6,X,1.348,No drug
AB3,com+,030820,T06,NOD 1 SHIFT 2,B3,3,B,NOD,6,X,1.306,No drug
AB3,com+,030820,T06,NOD 1 SHIFT 2,B4,4,B,NOD,6,X,0.953,No drug
AB3,com+,030820,T06,NOD 1 SHIFT 2,B5,5,B,NOD,6,X,1.122,No drug
AB3,com+,030820,T06,NOD 1 SHIFT 2,B6,6,B,NOD,6,X,1.157,No drug
AB3,com+,030820,T06,NOD 1 SHIFT 2,C1,1,C,NOD,7,X,0,No drug
AB3,com+,030820,T06,NOD 1 SHIFT 2,C2,2,C,NOD,7,X,0,No drug
AB3,com+,030820,T06,NOD 1 SHIFT 2,C3,3,C,NOD,7,X,0,No drug
AB3,com+,030820,T06,NOD 1 SHIFT 2,C4,4,C,NOD,7,X,0,No drug
AB3,com+,030820,T06,NOD 1 SHIFT 2,C5,5,C,NOD,7,X,0,No drug
AB3,com+,030820,T06,NOD 1 SHIFT 2,C6,6,C,NOD,7,X,0,No drug
