Strain,Rec,date,transfer,plateID,wellID,wellCol,wellRow,Treatment,Replicate,Environment,OD,Treatment_f
AB3,com+,290720,T01,MIX AB3 SHIFT 1,B1,1,B,MIX,2,X,0.921,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 1,B2,2,B,MIX,2,X,0.875,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 1,B3,3,B,MIX,2,X,0.829,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 1,B4,4,B,MIX,2,S,0.839,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 1,B5,5,B,MIX,2,R,0.84,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 1,B6,6,B,MIX,2,B,0.068,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 1,C1,1,C,MIX,3,X,0.962,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 1,C2,2,C,MIX,3,X,0.896,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 1,C3,3,C,MIX,3,X,0.846,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 1,C4,4,C,MIX,3,S,0.873,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 1,C5,5,C,MIX,3,R,0.866,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 1,C6,6,C,MIX,3,B,0.081,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 1,D1,1,D,MIX,4,X,1.024,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 1,D2,2,D,MIX,4,X,0.985,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 1,D3,3,D,MIX,4,X,0.947,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 1,D4,4,D,MIX,4,S,0.897,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 1,D5,5,D,MIX,4,R,0.946,Mixed
AB3,com+,290720,T01,MIX AB3 SHIFT 1,D6,6,D,MIX,4,B,0.068,Mixed
AB3,com+,290720,T01,CMB AB3 SHIFT 1,A1,1,A,CMB,1,X,0.923,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 1,A2,2,A,CMB,1,X,0.814,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 1,A3,3,A,CMB,1,X,0.784,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 1,A4,4,A,CMB,1,B,0.075,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 1,A5,5,A,CMB,1,B,0.071,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 1,A6,6,A,CMB,1,B,0.07,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 1,B1,1,B,CMB,2,X,0.891,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 1,B2,2,B,CMB,2,X,0.867,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 1,B3,3,B,CMB,2,X,0.836,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 1,B4,4,B,CMB,2,B,0.073,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 1,B5,5,B,CMB,2,B,0.069,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 1,B6,6,B,CMB,2,B,0.069,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 1,C1,1,C,CMB,3,X,0.922,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 1,C2,2,C,CMB,3,X,0.882,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 1,C3,3,C,CMB,3,X,0.854,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 1,C4,4,C,CMB,3,B,0.083,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 1,C5,5,C,CMB,3,B,0.082,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 1,C6,6,C,CMB,3,B,0.089,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 1,D1,1,D,CMB,4,X,1.02,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 1,D2,2,D,CMB,4,X,0.982,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 1,D3,3,D,CMB,4,X,0.932,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 1,D4,4,D,CMB,4,B,0.071,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 1,D5,5,D,CMB,4,B,0.07,Combination
AB3,com+,290720,T01,CMB AB3 SHIFT 1,D6,6,D,CMB,4,B,0.072,Combination
AB3,com+,290720,T01,NOD SHIFT 1,A1,1,A,NOD,1,X,1.105,No drug
AB3,com+,290720,T01,NOD SHIFT 1,A2,2,A,NOD,1,X,1.069,No drug
AB3,com+,290720,T01,NOD SHIFT 1,A3,3,A,NOD,1,X,0.946,No drug
AB3,com+,290720,T01,NOD SHIFT 1,A4,4,A,NOD,1,X,0.869,No drug
AB3,com+,290720,T01,NOD SHIFT 1,A5,5,A,NOD,1,X,0.863,No drug
AB3,com+,290720,T01,NOD SHIFT 1,A6,6,A,NOD,1,X,1.022,No drug
AB3,com+,290720,T01,NOD SHIFT 1,B1,1,B,NOD,2,X,1.124,No drug
AB3,com+,290720,T01,NOD SHIFT 1,B2,2,B,NOD,2,X,0.919,No drug
AB3,com+,290720,T01,NOD SHIFT 1,B3,3,B,NOD,2,X,0.856,No drug
AB3,com+,290720,T01,NOD SHIFT 1,B4,4,B,NOD,2,X,0.835,No drug
AB3,com+,290720,T01,NOD SHIFT 1,B5,5,B,NOD,2,X,0.855,No drug
AB3,com+,290720,T01,NOD SHIFT 1,B6,6,B,NOD,2,X,0.998,No drug
AB3,com+,290720,T01,NOD SHIFT 1,C1,1,C,NOD,3,X,0.894,No drug
AB3,com+,290720,T01,NOD SHIFT 1,C2,2,C,NOD,3,X,0.896,No drug
AB3,com+,290720,T01,NOD SHIFT 1,C3,3,C,NOD,3,X,0.89,No drug
AB3,com+,290720,T01,NOD SHIFT 1,C4,4,C,NOD,3,X,0.962,No drug
AB3,com+,290720,T01,NOD SHIFT 1,C5,5,C,NOD,3,X,1.058,No drug
AB3,com+,290720,T01,NOD SHIFT 1,C6,6,C,NOD,3,X,1.108,No drug
AB3,com+,290720,T01,NOD SHIFT 1,D1,1,D,NOD,4,X,0.93,No drug
AB3,com+,290720,T01,NOD SHIFT 1,D2,2,D,NOD,4,X,0.943,No drug
AB3,com+,290720,T01,NOD SHIFT 1,D3,3,D,NOD,4,X,0.959,No drug
AB3,com+,290720,T01,NOD SHIFT 1,D4,4,D,NOD,4,X,0.97,No drug
AB3,com+,290720,T01,NOD SHIFT 1,D5,5,D,NOD,4,X,1.042,No drug
AB3,com+,290720,T01,NOD SHIFT 1,D6,6,D,NOD,4,X,1.119,No drug
AB3,com+,290720,T01,STR AB3 SHIFT 2,A1,1,A,STR,5,X,0.933,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 2,A2,2,A,STR,5,X,1.065,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 2,A3,3,A,STR,5,X,1.023,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 2,A4,4,A,STR,5,S,0.922,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 2,A5,5,A,STR,5,S,0.902,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 2,A6,6,A,STR,5,S,0.938,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 2,B1,1,B,STR,6,X,1.086,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 2,B2,2,B,STR,6,X,1.148,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 2,B3,3,B,STR,6,X,1.086,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 2,B4,4,B,STR,6,S,0.954,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 2,B5,5,B,STR,6,S,0.941,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 2,B6,6,B,STR,6,S,0.944,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 2,C1,1,C,STR,7,X,1.244,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 2,C2,2,C,STR,7,X,1.139,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 2,C3,3,C,STR,7,X,1.127,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 2,C4,4,C,STR,7,S,0.966,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 2,C5,5,C,STR,7,S,0.944,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 2,C6,6,C,STR,7,S,0.937,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 2,D1,1,D,STR,8,X,1.183,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 2,D2,2,D,STR,8,X,1.168,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 2,D3,3,D,STR,8,X,1.151,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 2,D4,4,D,STR,8,S,0.909,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 2,D5,5,D,STR,8,S,0.939,STP only
AB3,com+,290720,T01,STR AB3 SHIFT 2,D6,6,D,STR,8,S,0.927,STP only
AB3,com+,290720,T01,RIF AB3 SHIFT 2,A1,1,A,RIF,5,X,0.894,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 2,A2,2,A,RIF,5,X,0.89,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 2,A3,3,A,RIF,5,X,0.929,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 2,A4,4,A,RIF,5,R,0.908,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 2,A5,5,A,RIF,5,R,0.942,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 2,A6,6,A,RIF,5,R,1.012,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 2,B1,1,B,RIF,6,X,0.994,RIF only
AB3,com+,290720,T01,RIF AB3 SHIFT 2,B2,2,B,RIF,6,X,1.023,RIF only
